CFOP;DESCRIÇÃO RESUMIDA [original];DESCRIÇÃO DETALHADA;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.121;1.121 - Compra para comercialização, em venda à ordem, já recebida do vendedor remetente.;Classificam-se neste código as compras de mercadorias a serem comercializadas, em vendas à ordem, já recebidas do vendedor remetente por ordem do adquirente originário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.122;1.122 - Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente.;Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, remetidas pelo fornecedor para o industrializador sem que a mercadoria tenha transitado pelo estabelecimento do adquirente.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.124;1.124 - Industrialização efetuada por outra empresa.;Classificam-se neste código as entradas de mercadorias industrializadas por terceiros, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos “1.551 - Compra de bem para o ativo imobilizado” ou “1.556 - Compra de material para uso ou consumo”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.125;1.125 - Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria.;Classificam-se neste código as entradas de mercadorias industrializadas por outras empresas, em que as mercadorias remetidas para utilização no processo de industrialização não transitaram pelo estabelecimento do adquirente das mercadorias, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos “1.551 - Compra de bem para o ativo imobilizado” ou “1.556 - Compra de material para uso ou consumo”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.126;1.126 - Compra para utilização na prestação de serviço sujeita ao ICMS.;Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços sujeitas ao ICMS.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.128;1.128 - Compra para utilização na prestação de serviço sujeita ao ISSQN.;Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços sujeitas ao ISSQN.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.131;1.131 - Entrada de mercadoria, com previsão de posterior ajuste ou fixação de preço, decorrente de operação de ato cooperativo.;Classificam-se neste código as entradas de mercadorias, com previsão de posterior ajuste ou fixação de preço, proveniente de cooperado, bem como proveniente de outra cooperativa, em que a saída tenha sido classificada no código “5.131 - Remessa de produção do estabelecimento, com previsão de posterior ajuste ou fixação de preço, de ato cooperativo”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.132;1.132 - Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para comercialização.;Classificam-se neste código as entradas para comercialização referentes a fixação de preço de produção do estabelecimento do produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo cuja saída tenha sido classificada no código “5.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.135;1.135 - Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para industrialização.;Classificam-se neste código as entradas para industrialização referentes a fixação de preço de produção do estabelecimento do produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo cuja saída tenha sido classificada no código “5.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.150;1.150 - TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIA-LIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.151;1.151 - Transferência para industrialização ou produção rural.;Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas em processo de industrialização ou produção rural.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.152;1.152 - Transferência para comercialização.;Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.153;1.153 - Transferência de energia elétrica para distribuição.;Classificam-se neste código as entradas de energia elétrica recebida em transferência de outro estabelecimento da mesma empresa, para distribuição.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.154;1.154 - Transferência para utilização na prestação de serviço.;Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas nas prestações de serviços.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.159;1.159 - Entrada decorrente do fornecimento de produto ou mercadoria de ato cooperativo.;"Classificam-se neste código as entradas decorrentes de fornecimento de produtos ou mercadorias por estabelecimento de cooperativa destinados a seus cooperados ou a estabelecimento de outra cooperativa, cujo fornecimento tenha sido classificado no código ""5.159 - Fornecimento de produção do estabelecimento de ato cooperativo” ou “5.160 - Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo”.";;;;;;;;;;;;;;;;;;;;;;;;;;;
1.200;1.200 - DEVOLUÇÕES DE VENDAS DE PRODUÇÃO PRÓPRIA, DE TERCEIROS OU ANULAÇÕES DE VALORES; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.201;1.201 - Devolução de venda de produção do estabelecimento.;"Classificam-se neste código as devoluções de vendas de produtos industrializados ou produzidos pelo próprio estabelecimento, cujas saídas tenham sido classificadas como ""Venda de produção do estabelecimento"".Também se classifica neste código o retorno de mercadoria não entregue ao destinatário.";;;;;;;;;;;;;;;;;;;;;;;;;;;
1.202;1.202 - Devolução de venda de mercadoria adquirida ou recebida de terceiros, ou qualquer devolução de mercadoria efetuada pelo MEI com exceção das classificadas nos códigos 1.503, 1.504, 1.505 e 1.506.;Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de industrialização no estabelecimento, cujas saídas tenham sido classificadas como “Venda de mercadoria adquirida ou recebida de terceiros”. Também serão classificadas neste código quaisquer devoluções de mercadorias efetuadas pelo MEI com exceção das classificadas nos códigos “1.503 - Entrada decorrente de devolução de produto remetido com fim específico de exportação, de produção do estabelecimento”, “1.504 - Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros”, “1.505 - Entrada decorrente de devolução de mercadorias remetidas para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento” e “1.506 - Entrada decorrente de devolução de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.203;1.203 - Devolução de venda ou de transferência de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio.;"Classificam-se neste código as devoluções de vendas ou de transferências de produtos industrializados ou produzidos pelo próprio estabelecimento, cujas saídas foram classificadas nos códigos ""5.109 - Venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio"" ou “5.157 - Transferência de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio”. Também serão classificados neste código os retornos de mercadorias não entregues ao destinatário.";;;;;;;;;;;;;;;;;;;;;;;;;;;
1.204;1.204 - Devolução de venda ou de transferência de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio.;Classificam-se neste código as devoluções de vendas ou de transferências de mercadorias adquiridas ou recebidas de terceiros, cujas saídas foram classificadas nos códigos “5.110 - Venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio” ou “5.158 - Transferência de mercadoria adquirida ou recebida de terceiros destinada à Zona Franca de Manaus ou Áreas de Livre Comércio”. Também serão classificados neste código os retornos de mercadorias não entregues ao destinatário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.205;1.205 - Anulação de valor relativo a prestação de serviço de comunicação.;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de comunicação.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.206;1.206 - Anulação de valor relativo a prestação de serviço de transporte.;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de transporte.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.207;1.207 - Anulação de valor relativo a venda de energia elétrica.;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de venda de energia elétrica.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.208;1.208 - Devolução de produção do estabelecimento, remetida em transferência.;Classificam-se neste código as devoluções de produtos industrializados ou produzidos pelo próprio estabelecimento, transferidos para outros estabelecimentos da mesma empresa. Também se classifica neste código o retorno de mercadoria não entregue ao destinatário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.209;1.209 - Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência.;Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros, transferidas para outros estabelecimentos da mesma empresa. Também se classifica neste código o retorno de mercadoria não entregue ao destinatário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.212;1.212 - Devolução de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped).;Classificam-se neste código as devoluções de vendas de produtos industrializados e insumos importados pelo estabelecimento.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.213;1.213 - Devolução de remessa de produção do estabelecimento, com previsão de posterior ajuste ou fixação de preço, em ato cooperativo.;Classificam-se neste código as devoluções de remessa que tenham sido classificadas no código “5.131 - Remessa de produção do estabelecimento, com previsão de posterior ajuste ou fixação de preço, de ato cooperativo”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.214;1.214 - Devolução referente à fixação de preço de produção do estabelecimento produtor, de ato cooperativo.;Classificam-se neste código as devoluções referentes à fixação de preço de produção do estabelecimento produtor cuja saída tenha sido classificada no código “5.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.250;1.250 - COMPRAS DE ENERGIA ELÉTRICA; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.251;1.251 - Compra de energia elétrica para distribuição ou comercialização.;Classificam-se neste código as compras de energia elétrica utilizada em sistema de distribuição ou comercialização. Também serão classificadas neste código as compras de energia elétrica por cooperativas para distribuição aos seus cooperados.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.252;1.252 - Compra de energia elétrica por estabelecimento industrial.;Classificam-se neste código as compras de energia elétrica utilizada no processo de industrialização. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento industrial de cooperativa.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.253;1.253 - Compra de energia elétrica por estabelecimento comercial.;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento comercial. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento comercial de cooperativa.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.254;1.254 - Compra de energia elétrica por estabelecimento prestador de serviço de transporte.;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de transporte.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.255;1.255 - Compra de energia elétrica por estabelecimento prestador de serviço de comunicação;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de comunicação.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.256;1.256 - Compra de energia elétrica por estabelecimento de produtor rural.;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento de produtor rural.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.300;1.300 - AQUISIÇÕES DE SERVIÇOS DE COMUNICAÇÃO; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.301;1.301 - Aquisição de serviço de comunicação para execução de serviço da mesma natureza;Classificam-se neste código as aquisições de serviços de comunicação utilizados nas prestações de serviços da mesma natureza.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.302;1.302 - Aquisição de serviço de comunicação por estabelecimento industrial.;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial de cooperativa.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.303;1.303 - Aquisição de serviço de comunicação por estabelecimento comercial.;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial de cooperativa.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.304;1.304 - Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento prestador de serviço de transporte.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.305;1.305 - Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica.;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.306;1.306 - Aquisição de serviço de comunicação por estabelecimento de produtor rural.;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de produtor rural.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.350;1.350 - AQUISIÇÕES DE SERVIÇOS DE TRANSPORTE; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.351;1.351 - Aquisição de serviço de transporte iniciado na unidade federada em que estiver localizado o transportador.;Classificam-se neste código as aquisições de serviços de transporte que se iniciam na mesma unidade federada em que estiver localizado o transportador.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.352;1.352 - Aquisição de serviço de transporte iniciado em unidade federada diversa da que estiver localizado o transportador.;Classificam-se neste código as aquisições de serviços de transporte que se iniciam em outra unidade federada, diferente da que estiver localizado o transportador.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.450;1.450 - SISTEMAS DE INTEGRAÇÃO E PARCERIA RURAL;"Classificam-se, neste grupo, as operações e prestações de integração e parceria rural. Constitui parceria rural o contrato agrário com cessão, por tempo determinado ou não, do uso de imóvel rural, para exercer atividade agrícola, pecuária, agro-industrial, extrativa vegetal ou mista; e ou entrega de animais para cria, recria, invernagem, engorda ou extração de matérias primas de origem animal, mediante partilha de riscos e frutos, produtos ou lucros havidos. Constitui integração vertical ou integração a relação contratual entre produtores integrados e integradores que visa a planejar e a realizar a produção e a industrialização ou comercialização de matéria-prima, bens intermediários ou bens de consumo final.";;;;;;;;;;;;;;;;;;;;;;;;;;;
1.451;1.451 - Entrada de animal - Sistema de Integração e Parceria Rural.;Classificam-se neste código as entradas de animais pelo sistema integrado e de produção animal, para criação, recriação ou engorda, inclusive em sistema de confinamento . Também serão classificados neste código as entradas do sistema de integração e produção animal decorrentes de “ato cooperativo”, inclusive as operações entre cooperativa singular e cooperativa central.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.452;1.452 - Entrada de insumo - Sistema de Integração e Parceria Rural.;Classificam-se neste código as entradas de insumos pelo sistema integrado e de produção animal, para criação, recriação ou engorda, inclusive em sistema de confinamento. Também serão classificados neste código as entradas do sistema de integração e produção animal decorrentes de “ato cooperativo”, inclusive as operações entre cooperativa singular e cooperativa central.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.453;1.453 - Retorno do animal ou da produção - Sistema de Integração e Parceria Rural.;Classificam-se neste código as entradas referentes ao retorno da produção, bem como dos animais criados, recriados ou engordados pelo produtor no sistema integrado e de produção animal, cujas saídas tenham sido classificadas no código “5.453 - Retorno de animal ou da produção - Sistema de Integração e Parceria Rural”. Também serão classificados neste código as entradas referentes ao retorno do sistema de integração e produção animal decorrentes de “ato cooperativo”, inclusive as operações entre cooperativa singular e cooperativa central.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.454;1.454 - Retorno simbólico do animal ou da produção - Sistema de Integração e Parceria Rural.;Classificam-se neste código as entradas referentes ao retorno simbólico da produção, bem como dos animais criados, recriados ou engordados pelo produtor no sistema integrado e de produção animal, cujas saídas tenham sido classificadas no código “5.454 - Retorno simbólico de animal ou da produção - Sistema de Integração e Parceria Rural”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.455;1.455 - Retorno de insumo não utilizado na produção - Sistema de Integração e Parceria Rural.;Classificam-se neste código as entradas referentes ao retorno de insumos não utilizados pelo produtor na criação, recriação ou engorda de animais pelo sistema integrado e de produção animal, inclusive em sistema de confinamento, cujas saídas tenham sido classificadas no código “5.455 - Retorno de insumos não utilizados na produção - Sistema de Integração e Parceria Rural”, inclusive as operações entre cooperativa singular e cooperativa central.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.456;1.456 - Entrada referente a remuneração do produtor no Sistema de Integração e Parceria Rural.;Classificam-se neste código a entrada da parcela da produção do produtor realizada em sistema de integração e produção animal, quando da entrega ao integrador ou parceiro. Também classificam-se neste código a entrada decorrente de “ato cooperativo”, inclusive operação entre cooperativa singular e cooperativa central.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.500;1.500 - ENTRADAS DE MERCADORIAS REMETIDAS PARA FORMAÇÃO DE LOTE OU COM FIM ESPECÍFICO DE EXPORTAÇÃO E EVENTUAIS DEVOLUÇÕES; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.501;1.501 - Entrada de mercadoria recebida com fim específico de exportação.;Classificam-se neste código as entradas de mercadorias em estabelecimento de trading company, empresa comercial exportadora ou outro estabelecimento do remetente, com fim específico de exportação.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.503;1.503 - Entrada decorrente de devolução de produto remetido com fim específico de exportação, de produção do estabelecimento.;"Classificam-se neste código as devoluções de produtos industrializados ou produzidos pelo próprio estabelecimento, remetidos a trading company, a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cujas saídas tenham sido classificadas no código ""5.501 - Remessa de produção do estabelecimento, com fim específico de exportação"". Também se classifica neste código o retorno de mercadoria não entregue ao destinatário.";;;;;;;;;;;;;;;;;;;;;;;;;;;
1.504;1.504 - Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros.;Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros remetidas a trading company, a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cujas saídas tenham sido classificadas no código “5.502 - Remessa de mercadoria adquirida ou recebida de terceiros, com fim específico de exportação”. Também se classifica neste código o retorno de mercadoria não entregue ao destinatário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.505;1.505 - Entrada decorrente de devolução de mercadorias remetidas para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento.;Classificam-se neste código as devoluções simbólicas ou físicas de mercadorias, bem como o retorno de mercadorias não entregues, remetidas para formação de lote de exportação cujas saídas tenham sido classificadas no código “5.504 - Remessa de mercadorias para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.506;1.506 - Entrada decorrente de devolução de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação.;Classificam-se neste código as devoluções simbólicas ou físicas de mercadorias remetidas para formação de lote de exportação em armazéns alfandegados, entrepostos aduaneiros ou outros estabelecimentos que venham a ser regulamentados pela legislação tributária de cada Unidade Federada, efetuadas pelo estabelecimento depositário, cujas saídas tenham sido classificadas no código “5.505 - Remessa de mercadorias, adquiridas ou recebidas de terceiros, para formação de lote de exportação.Também se classifica neste código o retorno de mercadoria não entregue ao destinatário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.550;1.550 - OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO OU CONSUMO; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.551;1.551 - Compra de bem para o ativo imobilizado.;Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.552;1.552 - Transferência de bem do ativo imobilizado.;Classificam-se neste código as entradas de bens destinados ao ativo imobilizado recebidos em transferência de outro estabelecimento da mesma empresa.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.553;1.553 - Devolução de venda de bem do ativo imobilizado.;Classificam-se neste código as devoluções de vendas de bens do ativo imobilizado, cujas saídas tenham sido classificadas no código “5.551 - Venda de bem do ativo imobilizado”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.554;1.554 - Retorno de bem do ativo imobilizado remetido para uso fora do estabelecimento.;Classificam-se neste código as entradas por retorno de bens do ativo imobilizado remetidos para uso fora do estabelecimento, cujas saídas tenham sido classificadas no código “5.554 - Remessa de bem do ativo imobilizado para uso fora do estabelecimento”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.555;1.555 - Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento.;Classificam-se neste código as entradas de bens do ativo imobilizado de terceiros, remetidos para uso no estabelecimento.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.556;1.556 - Compra de material para uso ou consumo.;Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.557;1.557 - Transferência de material para uso ou consumo.;Classificam-se neste código as entradas de materiais para uso ou consumo recebidos em transferência de outro estabelecimento da mesma empresa.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.600;1.600 - CRÉDITOS E RESSARCIMENTOS DE ICMS; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.601;1.601 - Recebimento, por transferência, de crédito de ICMS.;Classificam-se neste código os lançamentos destinados ao registro de créditos de ICMS, recebidos por transferência de outras empresas.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.602;1.602 - Recebimento, por transferência, de saldo credor de ICMS de outro estabelecimento da mesma empresa, para compensação de saldo devedor de ICMS.;Classificam-se neste código os lançamentos destinados ao registro da transferência de saldos credores de ICMS recebidos de outros estabelecimentos da mesma empresa, destinados à compensação do saldo devedor do estabelecimento, inclusive no caso de apuração centralizada do imposto.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.603;1.603 - Ressarcimento de ICMS retido por substituição tributária.;Classificam-se neste código os lançamentos destinados ao registro de ressarcimento de ICMS retido por substituição tributária a contribuinte substituído, efetuado pelo contribuinte substituto, ou, ainda, quando o ressarcimento for apropriado pelo próprio contribuinte substituído, nas hipóteses previstas na legislação aplicável.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.604;1.604 - Lançamento do crédito relativo à compra de bem para o ativo imobilizado.;Classificam-se neste código os lançamentos destinados ao registro da apropriação de crédito de bens do ativo imobilizado.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.605;1.605 - Recebimento, por transferência, de saldo devedor de ICMS de outro estabelecimento da mesma empresa.;Classificam-se neste código os lançamentos destinados ao registro da transferência de saldo devedor de ICMS recebido de outro estabelecimento da mesma empresa, para efetivação da apuração centralizada do imposto.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.650;1.650 - ENTRADAS DE COMBUSTÍVEIS, DERIVADOS OU NÃO DE PETRÓLEO E LUBRIFI-CANTES;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.651;1.651 - Compra de combustíveis ou lubrificantes para industrialização subsequente.;Classificam-se neste código as compras de combustíveis ou lubrificantes a serem utilizados em processo de industrialização do próprio produto.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.652;1.652 - Compra de combustíveis ou lubrificantes para comercialização.;Classificam-se neste código as compras de combustíveis ou lubrificantes a serem comercializados.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.653;1.653 - Compra de combustíveis ou lubrificantes por consumidor ou usuário final.;Classificam-se neste código as compras de combustíveis ou lubrificantes a serem consumidos em processo de industrialização de outros produtos, na produção rural, na prestação de serviços ou por usuário final.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.657;1.657 - Retorno de remessa de combustíveis ou lubrificantes para venda fora do estabelecimento.;Classificam-se neste código as entradas em retorno de combustíveis ou lubrificantes remetidos para venda fora do estabelecimento, inclusive por meio de veículos, e não comercializadas.;;;;;;;;;;;;;;;;;;;;;;;;;;;
